2026-09-05 00:27:00,943 | INFO | attendance | New session created: id=10, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:05,099 | INFO | attendance | New session created: id=11, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:09,243 | INFO | attendance | New session created: id=12, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:11,344 | INFO | attendance | New session created: id=13, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:29,478 | INFO | attendance | New session created: id=14, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:38,467 | INFO | attendance | New session created: id=15, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:38,967 | INFO | attendance | New session created: id=16, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:39,544 | INFO | attendance | New session created: id=17, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:46,711 | INFO | attendance | New session created: id=18, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:47,200 | INFO | attendance | New session created: id=19, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:47,711 | INFO | attendance | New session created: id=20, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:48,256 | INFO | attendance | New session created: id=21, type=unknown, emp_id=-, camera=1
2026-09-05 00:27:48,401 | INFO | attendance | New session created: id=22, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:01,301 | INFO | attendance | New session created: id=23, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:01,846 | INFO | attendance | New session created: id=24, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:07,334 | INFO | attendance | New session created: id=25, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:09,312 | INFO | attendance | New session created: id=26, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:34,579 | INFO | attendance | New session created: id=27, type=unknown, emp_id=-, camera=1
2026-09-05 00:28:45,012 | INFO | attendance | New session created: id=28, type=unknown, emp_id=-, camera=1
2026-09-05 00:29:35,770 | INFO | attendance | New session created: id=29, type=unknown, emp_id=-, camera=1
2026-09-05 00:29:41,436 | INFO | attendance | New session created: id=30, type=unknown, emp_id=-, camera=1
2026-09-05 00:29:59,527 | INFO | attendance | Session closed: id=9, type=unknown, duration=180s
2026-09-05 00:30:40,816 | INFO | attendance | Session closed: id=8, type=unknown, duration=224s
2026-09-05 00:30:40,816 | INFO | attendance | Session closed: id=12, type=unknown, duration=211s
2026-09-05 00:30:40,816 | INFO | attendance | Session closed: id=13, type=unknown, duration=209s
2026-09-05 00:30:40,816 | INFO | attendance | Session closed: id=14, type=unknown, duration=191s
2026-09-05 00:30:40,816 | INFO | attendance | Session closed: id=16, type=unknown, duration=181s
2026-09-05 00:30:40,817 | INFO | attendance | Session closed: id=17, type=unknown, duration=181s
2026-09-05 00:31:07,639 | INFO | attendance | Session closed: id=10, type=unknown, duration=246s
2026-09-05 00:31:07,640 | INFO | attendance | Session closed: id=11, type=unknown, duration=242s
2026-09-05 00:31:07,640 | INFO | attendance | Session closed: id=18, type=unknown, duration=200s
2026-09-05 00:31:07,640 | INFO | attendance | Session closed: id=19, type=unknown, duration=200s
2026-09-05 00:31:07,640 | INFO | attendance | Session closed: id=21, type=unknown, duration=199s
2026-09-05 00:31:07,641 | INFO | attendance | Session closed: id=23, type=unknown, duration=186s
2026-09-05 00:31:07,641 | INFO | attendance | Session closed: id=24, type=unknown, duration=185s
2026-09-05 00:31:07,641 | INFO | attendance | Session closed: id=25, type=unknown, duration=180s
2026-09-05 00:31:10,905 | INFO | attendance | New session created: id=31, type=unknown, emp_id=-, camera=1
2026-09-05 00:31:11,983 | INFO | attendance | New session created: id=32, type=unknown, emp_id=-, camera=1
2026-09-05 00:31:34,739 | INFO | attendance | Session closed: id=27, type=unknown, duration=180s
2026-09-05 00:31:57,498 | INFO | attendance | Session closed: id=28, type=unknown, duration=192s
2026-09-05 00:32:49,691 | INFO | attendance | Session closed: id=15, type=unknown, duration=311s
2026-09-05 00:32:49,691 | INFO | attendance | Session closed: id=22, type=unknown, duration=301s
2026-09-05 00:32:49,692 | INFO | attendance | Session closed: id=26, type=unknown, duration=280s
2026-09-05 00:32:49,692 | INFO | attendance | Session closed: id=29, type=unknown, duration=193s
2026-09-05 00:32:49,692 | INFO | attendance | Session closed: id=30, type=unknown, duration=188s
2026-09-05 00:33:04,600 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:33:05,072 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:33:05,073 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:33:05,073 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:33:05,073 | INFO | attendance | Shutdown: closing active sessions...
2026-09-05 00:33:05,073 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:33:05,136 | INFO | attendance | Closed 4 active sessions on shutdown
